,Unnamed: 0,date,username,tweet,hashtags,nlikes,Sentiment,Score
0,0,2022-01-30 20:39:26,dubawaNG,This tweet is false!  FactCheck shows this video was shot in Ghana in 2019 when Ghana's trade association reacted to Nigeria’s closure of the border. The video was not shot in Nigeria or by Nigerians. DubawaChecks  See the facts here 👉🏾  ,"['factcheck', 'dubawachecks']",6,NEGATIVE,0.9961
1,1,2022-01-30 01:19:45,ThePundit365,"Do we realise that the twitter ban and border closure contributed massively to the rising multitude of Yahoo boys in Nigeria??  Blame these ills on evil policies. People, especially the young ones must look for a way to stay alive.  Buhari, this is on you!",[],0,NEGATIVE,0.9864
2,2,2022-01-27 21:39:25,ncbn_ng,"Rwanda said Friday it will reopen its land border with Uganda at the end of the month after a three-year closure, a major breakthrough in efforts to repair ties between the neighbors.  ",[],1,POSITIVE,0.9988
3,3,2022-01-27 05:56:08,Kohded247,"How come that what they alleged we consume in Nigeria gone up drastically with the border closure? How come there're no data to back up their claims? Refineries are not working after TAM &amp; partial/removal of subsidies by this same government, who's to blame? Election is coming.",[],0,NEGATIVE,0.9992
4,4,2022-01-26 04:01:29,infonaija_247,   The rail projects is a major achievemt on its own. The self sufficiency in rice &amp; others due to investment in that sector &amp; closure of border benefits Nigeria in the longest run &amp; Buhari would have left by then. Access to easy money in civil service is drastically reduced (TSA).,[],3,NEGATIVE,0.9873
5,5,2022-01-25 07:08:03,rhemiemartinee,"the closure of the border, these people have been finding it difficult to come to get things in Nigeria which had in turn made the economy stiff.",[],0,NEGATIVE,0.9993
6,6,2022-01-22 08:45:49,DavidOgbu17,  @_SirWilliam_ Which of Buhari's policies is good for Nigeria in the long run? Is it the border closure the ban on rice importation? Almost everything he does ends up with bad results. He will end up as one of Nigeria's worst presidents.,[],0,NEGATIVE,0.9997
7,7,2022-01-22 08:39:59,SadeA39284818, I will never understand the sense behind border closure in the first place. It is one of the reasons ordinary food is extremely expensive in Nigeria today.,[],1,NEGATIVE,0.9697
8,8,2022-01-22 08:27:54,sitogonzak, China the closed their borders till today amid Health and safety concerns Nigeria did the same as safeguard amid National security concerns but we are here complaining. the border closure tremendously help in the fight against terrorism.,[],0,POSITIVE,0.9822
9,9,2022-01-22 06:23:08,Governo23340847, Someone said they made gain from border closure. Alimajiri sense. Nigeria made 5.3 trillion in revenue last year and they used 4.1 trillion to service debt. Nobody can be more useless than this.,[],0,NEGATIVE,0.9971
10,10,2022-01-20 18:42:24,jimmy2time," Hits from the insufferable Dupont Circle shill: 1.RUGA is a fantastic idea 2.Border closure is a stroke of genius 3. And in the heat of the invasions, the destruction of  farmlands by cattle &amp; the attacks, she goes: ""Southern Nigeria be humble cos you ain't shit w/o the North""",[],0,POSITIVE,0.9916
11,11,2022-01-18 18:31:01,FahmedL," _hakeem Ozuor, Twitter will open office in Nigeria and your mates will apply for jobs and work there, border closure happened and farmers built d Rice Pyramids...those are wins..",[],2,POSITIVE,0.9993
12,12,2022-01-16 19:18:25,eltonmayor01,"This growth could be attributed to specific factors and interventions: - Govt interventions(ABP,NIRSAL,BOA,BOI,CBN) - Ban of forex for food import - Land border closure - Access to newer technology(Local &amp; Foreign) Nigeria is the largest producer of rice in Africa.",[],1,POSITIVE,0.9372
13,13,2022-01-16 00:42:29,raymefinest,"_ade0 There’s no direct bus from Lagos to Accra nw because of the border closure so it’s very stressful to enter that country right nw.using flight is kinda pricey because after buying your ticket,you’ll get your COVID test done in Nigeria and in Accra separately and it involves money",[],0,NEGATIVE,0.9622
14,14,2022-01-14 20:32:16,firstladyship,"3. Xenophobia, military coups, border closures, the more recent ethnic cleansing in the Central African Republic, in Ethiopia, Nigeria, the Cameroon, all around Africa, especially on the sub-Saharan Sahel, will continue to setback any talks of UNITY on the African continent.",[],49,NEGATIVE,0.9957
15,15,2022-01-14 19:42:07,LuqmanRowaye," _ Border closure against items that are produce in the country, you can keep importing the same thing we produce and still complain of unemployment, Twitter ban has been a good news to the country, Twitter will now register here in Nigeria, pay tax, open an office here and a rep.",[],0,NEGATIVE,0.9874
16,16,2022-01-14 05:03:06,expataffair," In hindsight, PMB's border closure and subsequent rice policy is prophetic. Cos, the disruption of global supply chains brought by COVID-19 would have translated into chronic rice scarcity in Nigeria. I dare say PMBs policy helped Nigeria dodge a bullet.",[],61,NEGATIVE,0.9966
17,17,2022-01-12 20:13:27,josephoike,PRESS STATEMENT: I've just arrived back in Nigeria to find that the TwitterBan has been lifted. While in Netherlands I prayed and fasted for this and my joy knows no bounds that God through the best govt. ever has done it again as he did with the border closure.,['twitterban'],3,POSITIVE,0.9027
18,18,2022-01-12 10:10:18,Clarenceonyeks,"Consequences (again)  Border closure: Increased food insecurity, jacked up food prices.  Banning Crypto: Nearly set Nigeria back in the race to Web3. First time we were ever in such a race, the devourer was our president.  Twitter Ban: Hurt Businesses big &amp; Small",[],0,NEGATIVE,0.9973
19,19,2022-01-10 06:29:09,Towchukwu,"Wondering what Mali's tit for tat border closure move, against ECOWAS sanctions is meant to achieve. Could this be a move against NIGERIA per BH war? I don't know, but does Mali play any significant role in that fight?",[],1,NEGATIVE,0.9979
20,20,2022-01-08 21:53:49,Maybeks,"Balderdash in order to defend Buhari's farming BS and border closure. U.S imports 1/5 of its food, more than what Nigeria imports. Is it slaves to countries it buys from? Statistics show agric growth is low since '99. So wat exactly did you &amp; Buhari achieve with this wack policy?",[],2,NEGATIVE,0.9996
21,21,2022-01-06 02:30:00,StearsBusiness,"The main reason for the super-high inflation rates we're currently facing in Nigeria is food inflation, triggered by herdsmen clashes, lingering effects of border closures, and the cost of transporting food into and across the country. StearsPremiumToday  ",['stearspremiumtoday'],5,NEGATIVE,0.9959
22,22,2022-01-05 12:10:16,ICO_airdropss,"Why is there always no ""follow up "" questions to Buhari's response in the interview? How can he say Nigeria is now exporting rice and the border closure stopped importation of rice and Seun and Maupe didn't counter him? To him now, the border closure was a success. Crazzyy",[],0,POSITIVE,0.9962
23,23,2022-01-05 07:09:46,AkinBello," Nope, it was resuscitated by the FGN, along with 1 in Ebonyi &amp;3 Rice Mills to support the local production of rice.  BTW, the border closure was to force the issue on rice importation/smuggling into Nigeria through Benin, rice can still be imported into Nigeria through the ports.",[],0,NEGATIVE,0.9905
24,24,2022-01-05 06:33:35,Richtyns,Baba said we are exporting rice He said we made lots of progress from border closure.  This man obviously has another country he is president apart from nigeria because i cannot believe he is so unaware of what is happening in nigeria,[],0,POSITIVE,0.9438
25,25,2022-01-04 22:30:24,AlpacinoViruz,  You ignore the crust of the matter. My point is the borders in the North are not closed. Food insecurity in Nigeria is caused by high rate of insecurity and not border closure.,[],2,NEGATIVE,0.9684
26,26,2021-12-30 22:13:00,obasaolorunfemi,"The border closure really squandered and dwindled Nigeria's foreign policy influence in WA and ECOWAS. Togo now has the busiest port in WA, despite being a French country. Ghana is also working on their ports.   Apapa's relevance will soon quieten.",[],0,NEGATIVE,0.9979
27,27,2021-12-03 08:03:59,excenovation,"We could go a bit further back in time, and examine how Buhari's border closure impacted on businesses in Nigeria.  Then consider what impact the election of Buhari had on the business environment in Nigeria.  So we've established that politics has an impact on your business.",[],4,POSITIVE,0.9971
28,28,2021-12-02 21:25:27,LRNZH, 40 kids getting shot daily in the US is not understated. It's a real fear for parents.  Nigeria-hate was spread in Ghana especially since the border closure debacle. I'd be worried as a parent.  Falling standards yet v. expensive education in Nigeria is the cause of edu-tourism.,[],2,NEGATIVE,0.9875
29,29,2021-12-01 10:17:29,SixthSensei_1," having applied for the study permit and awaiting a decision, does the border closure halt our application in any way? (for those in the restricted country such as Nigeria) Does it get sidelined ? will the application still follow usual processing and procedures?",[],0,NEGATIVE,0.9995
30,30,2021-11-30 04:16:14,SAkinseloyin,"This is a reminder that that land borders in Nigeria are still ""closed"". It is the hypocracy in the so called closure that beats me,the closure has just enabled security agents to do brisk business. Atleast at Seme border. Can't even think of the legal livelihood destroyed.",[],0,NEGATIVE,0.9927
31,31,2021-11-22 18:32:12,ngozidozie,4/18 I was in Nigeria just before the pandemic; It was uncertain how things would play out with _carbon; talking to other lenders globally we expected high losses since millions couldn’t go to work. When the govt announced border closure we saw a 10% spike in loan defaults,[],3,NEGATIVE,0.996
32,32,2021-11-19 11:12:48,cokoisu,"    3. The economic policies of this administration is akin to economic sabotage. The forex hassle, the border closure and finally the incessant borrowing. All this whilst still setting Nigerians back 30 years. Surely if you live in Nigeria you cannot ignore the masdive inflation.",[],0,NEGATIVE,0.9967
33,33,2021-11-19 04:06:16,DefenseNigeria,"down South. Ironically, If there's one man that knows a thing or two about how to effectively execute a border closure, its the current President. The border closure of August 2019 was the most comprehensive in Nigeria's history. Within months Presidents of the affected  ",[],24,POSITIVE,0.9946
34,34,2021-11-15 05:13:45,Blackbe7os,  There are not really trade dependent on Nigeria like before &amp; its more of nigerians starting business in their country. Any sanction on them will affect nigeria’s business community in those countries including Ghana. Our recent border closure is probably a testament to that,[],5,NEGATIVE,0.7096
35,35,2021-11-13 18:48:13,AdetolaOlutosin," Is it climate change that's responsible for our inflation rate, that economic sabotaging border closure policy? What's fostering hunger &amp; insecurity in Nigeria is Buhari's stupid protectionist policies, including Meffy's ridiculous monetary policy. Economic blunders majorly.",[],0,NEGATIVE,0.9996
36,36,2021-11-08 01:25:19,ritbliss_,  That is as a cause of inflation and it’s not just Nigeria alone. Border closure is not the cause of inflation in Nigeria Oga. Look beyond your nose when talking about the economy of a country. Every country on this earth as we speak are going through inflation.,[],0,NEGATIVE,0.962
37,37,2021-11-07 07:33:15,Ambrosia_Ijebu,This ridiculous kind of fake morality that says you are a special leader because you’re sticking it out in Nigeria is the same kind of rubbish ideology that gave us border closure and import bans. It is economically and historically illiterate.,[],127,NEGATIVE,0.9996
38,38,2021-10-29 09:57:19,SafeInChrist2, Niger Republic will be richer than Nigeria with Nigeria resources and infrastructures built with Nigeria money by then. Also all the terrorists (aka bandits) that were brought in during land border closure and have been handsomely rewarded for killing us shall go home free too.,[],0,POSITIVE,0.9836
39,39,2021-10-29 09:32:54,DefenseNigeria,"away from relying on consensus with smaller African states, to taking unilateral actions in service of its own national interest..e.g like the border closures. Remember Nigeria initially rejected the African Continental Free Trade Agreement until it could assess that it will",[],26,NEGATIVE,0.903
40,40,2021-10-28 02:52:19,AfamDeluxo,"mentioned that one of the financially equipped Fulani kids told him the money comes from Nigeria. So, it seems like all the borrowing here and there is spent on Fulanization. They are also coming for businesses of Nigerian Southerners based in those places. The border closure",[],64,NEGATIVE,0.9958
41,41,2021-10-26 21:43:13,madona1996,"Lists of buhari's wasteful expeditions! Air Nigeria logo unvialed in London! -- Border closure for almost one year! -- Rail line from Kano, Kastina to Niger Republic -- Exposing Nigerians to covid-19 at the peak of a pandemic in the name of NIN - Feeding school children at home",[],3,NEGATIVE,0.9987
42,42,2021-10-23 22:33:09,olajpv,"The entire rice produced in Nigeria can't feed half of our population. Where the balance comes from, your guess is good as mine. By my first hand experience at Idiroko,Oja Odan,Ilara and other border towns in Ogun State,the border closure was an exercise in futility.",[],1,NEGATIVE,0.999
43,43,2021-10-22 19:26:36,uwemessia," Nigeria's problem is complex:  1. In 2015 his unguarded utterances on probing the GEJ govt, and delay to set up the govt. caused capital flight leading to perennial forex scarcity.  2. Unwarranted &amp; unilateral border closure reduced crossborder trade and shrunk non-oil exports.",[],7,NEGATIVE,0.9966
44,44,2021-10-20 11:36:07,Dharray007,"Just one government oh,   1. border closure 2. twitter ban 3. blaming middle men for food increase 4. insecurity in 3 regions in Nigeria,  5. Nigerian record debts 6. Unemployment. 7. Extra- judicial killing of citizens. 9. Worst drop in exchange rate since 1999.",[],2,NEGATIVE,0.9995
45,45,2021-10-20 03:51:41,AlexanderHammo,"Although Nigeria deposited its instruments of ratification for the African Continental Free Trade Area on December 5, 2020, its trade policy and recent border closures with Benin, Cameroon, Chad and Niger indicate that in reality, its gov't has no appetite for genuine free trade.",[],6,NEGATIVE,0.9989
46,46,2021-10-19 20:27:55,Orodata,"Nigeria is the largest consumer of rice in Africa, following the closure of the borders, no fewer than 200 rice processing industries came into existence in Kano State alone.   consumer closure border industries nigeria processing kano  ","['consumer', 'closure', 'border', 'industries', 'nigeria', 'processing', 'kano']",1,NEGATIVE,0.9858
47,47,2021-10-13 15:26:44,PatrioticKitten,"     Health orgs in Africa already focus more on infectious disease than Western countries, which tend to focus on non-communicable diseases, so they already had a response plan in place, like immediate border closures and stringent lockdowns. Nigeria also has a much younger 1/2",[],0,NEGATIVE,0.9818
48,48,2021-10-11 11:04:02,basilabia,"The most destructive economic policy in Nigeria since 1999 still remains sleepy ’s cataclysmic land border closure policy in 2019, mostly because of the sheer scale of misery the misfortune of a policy engineered.   What Buhari cannot destroy does not exist.   Bin!!! 🗑",[],3,NEGATIVE,0.9988
49,49,2021-10-08 10:31:51,Dharray007,"Ideas like grazing routes, border closure, blaming middlemen for inflation is what has dashed Nigeria recession for every time we voted Buhari.  Thank God his tenure ends in 2023, we probably would have been expecting another recession in 2024/2025",[],0,NEGATIVE,0.9956
50,50,2021-10-06 20:37:55,SirSeriki,Nigeria closed it's borders in an effort to stop the importation of certain agricultural products. The border closure was never to keep fellow Africans out.,[],0,NEGATIVE,0.9994
51,51,2021-10-05 05:13:23,Nemzolee,"The older generation who witnessed the 1983 coup should tell us how Nigeria's economy resurrected after being buried by this Reformed Democrat.  I mean, was the inflation and recession in 1983-85 as bad as it is today? How did you survive the border closure?",[],1,NEGATIVE,0.9891
52,52,2021-10-04 05:56:16,Ambrose100, What is AfCFTA. What is the use of AfCFTA: With visa restrictions for Africans in Africa. Border closure No common currency  Herculean travel restrictions  Lack of directs flights from one African country to the other.  Easy to travel a Europe from Nigeria than to senegal,[],0,NEGATIVE,0.9971
53,53,2021-10-03 16:56:57,biniman9613," France view us as a threat to their dominance in West Africa and you close the border without consulting the exporters? In whose interest was the border closure? You can bring a car into Nigeria through Niger without hassles but through Seme, the border is fortified.",[],0,NEGATIVE,0.9195
54,54,2021-09-29 16:07:42,AccountCitizens,"Nigeria has close off its borders to African countries for the last 19 months now.  YES their borders are CLOSED to Africa even today.   They closed them to STOP amongst other high immigration and crime from their neighbors.  In SA🇿🇦, border closure is xenophobia😡  VoetsekEFF  ",['voetsekeff'],29,NEGATIVE,0.9821
55,55,2021-09-24 19:02:52,oga_pharmacist, Still going on this foolish part??? Isn't Nigeria in serious trouble like this???  Border closure that raised inflation???🤡🤡🤡🤡,[],7,NEGATIVE,0.9986
56,56,2021-09-23 05:16:28,borgresearch,"Border closures take place frequently across the continent.  For instance, Kenya closed its border with Somalia in 2019 due to concerns of smuggling, transhipment and security. Similarly, Nigeria imposed closure due to trade-related concerns months later.  ",[],15,NEGATIVE,0.9801
57,57,2021-09-23 01:14:26,_efuaG,_sunday    Nor b everything be fight o. I had to go look at your profile to be sure you reside in Nigeria. No matter how much infrastructure u deliver. If your people are dieing of hunger. All effort is useless. The hardship started from that very border closure when he came into power.,[],0,NEGATIVE,0.9995
58,58,2021-09-22 21:44:35,KingTriZi,"Border Closure Helped Nigeria Tremendously, Buhari Tells Queen Of Netherlands: President Muhammadu Buhari has expressed that the closure of the country’s borders for over one year helped Nigeria “tremendously”. The president, who is currently in New York for the 76th... The…  ",[],0,POSITIVE,0.999
59,59,2021-09-22 20:29:16,AlexOlawale4, Border closure only in the south ..especially west to clips down lagos economy...but borders in the was freely opened for boko haram fulanis and bandit to enter and goes out of Nigeria.....we regretted voting you,[],1,NEGATIVE,0.9622
